"Age","Sig1Mean","Sig1Med","Sig1RobMean","Sig7Mean","Sig7RobMean","Sig7Med","Gender"
"1",23,6,6,6,246,246,246,"FEMALE"
"2",24,9,9,9,256,256,256,"FEMALE"
"3",25,17,17,17,448,448,448,"FEMALE"
"4",27,15.5,15.5,12.9614813968157,368.5,352.774715647253,368.5,"FEMALE"
"5",28,26,26,26,334,334,334,"FEMALE"
"6",29,48,48,48,246,246,246,"FEMALE"
"7",30,4,4,4,89,89,89,"FEMALE"
"8",32,29,29,28.7228132326901,236,233.390231158033,236,"FEMALE"
"9",33,43,43,43,2830,2830,2830,"FEMALE"
"10",34,29.5,29.5,29.1547594742265,247.5,247.353997339845,247.5,"FEMALE"
"11",36,38,38,32.310988842807,271.5,244.757022371167,271.5,"FEMALE"
"12",37,26,26,26.1574204927353,226,194.553334589773,226,"FEMALE"
"13",38,43.5,43.5,43.4281015012169,796,775.612661062208,796,"FEMALE"
"14",39,19,15.5,11.4017542509914,299.75,197.271386673283,208.5,"FEMALE"
"15",40,23.6666666666667,19,19,327.666666666667,358,358,"FEMALE"
"16",41,1,1,1,0,4.15764359551784e-07,0,"FEMALE"
"17",42,27,27,15.6524758424985,1824,595.650904473417,1824,"FEMALE"
"18",43,33,3,4.1241299899185,800,277,277,"FEMALE"
"19",45,79,79,79,1269,1269,1269,"FEMALE"
"20",46,25.75,24,23.6643191323985,257,222.825043475818,230,"FEMALE"
"21",47,10,10,10,272,272,272,"FEMALE"
"22",48,41,44.5,44.5,524.833333333333,506.478035061739,511.5,"FEMALE"
"23",49,10,10,10,0,4.15764359551784e-07,0,"FEMALE"
"24",50,25,25,24.2693221990232,394.5,320.156211871642,394.5,"FEMALE"
"25",51,52,52,37.5233260785875,167.5,59.6992462263972,167.5,"FEMALE"
"26",52,68,68,68,1741,1741,1741,"FEMALE"
"27",53,39,39,37.6961536499415,261,237.606818083994,261,"FEMALE"
"28",54,33.8,16,16,526.8,319,319,"FEMALE"
"29",55,20.5,20.5,20.3469899493758,195,194.835828327338,195,"FEMALE"
"30",56,22.8571428571429,14,14,238.714285714286,209,209,"FEMALE"
"31",57,32.6,37,37,417.8,343,343,"FEMALE"
"32",58,31.3333333333333,33.5,32.124756808418,311.5,332.5,332.5,"FEMALE"
"33",59,34.25,30,29.3938769133981,417.25,198.886902535084,221.5,"FEMALE"
"34",60,49.6666666666667,32,32,558.666666666667,498,498,"FEMALE"
"35",61,9,9,8.48528137423857,149.5,12.2270192606375,149.5,"FEMALE"
"36",62,28.5,28.5,27.9642629082191,247.5,225.277606521376,247.5,"FEMALE"
"37",63,54.4,28,28.6570220576464,585,275,275,"FEMALE"
"38",64,32,32,32,10,10,10,"FEMALE"
"39",65,28.25,30,29.5803989154981,338.5,296.799595687056,306.5,"FEMALE"
"40",66,49.6666666666667,23,23,825.666666666667,503,503,"FEMALE"
"41",67,14,14,14,561,561,561,"FEMALE"
"42",68,3,3,3,0,4.15764359551784e-07,0,"FEMALE"
"43",69,2,2,2,1,1,1,"FEMALE"
"44",70,19.6666666666667,23,23.1570833975142,202.333333333333,50.5568986390581,112.5,"FEMALE"
"45",71,14.5,14.5,14.6507378836073,101,24.4335834457412,101,"FEMALE"
"46",72,60.6666666666667,80,80,630.333333333333,756,756,"FEMALE"
"47",73,22.5,17.5,17.3205080756888,374,363.584928180473,367.5,"FEMALE"
"48",74,8,8,6.2449979983984,115.5,36.7423461417477,115.5,"FEMALE"
"49",75,45.4285714285714,40,40,488,350,350,"FEMALE"
"50",76,37.75,37.5,34.9857113690718,425.75,462.963281481372,464,"FEMALE"
"51",77,31,31,13.3041346956501,661,624.365277702084,661,"FEMALE"
"52",78,40.5,40.5,38.1837661840736,236,221.664160386834,236,"FEMALE"
"53",79,13,13,13,0,4.15764359551784e-07,0,"FEMALE"
"54",80,34,34,34,180,180,180,"FEMALE"
"55",81,14,14,14,179,179,179,"FEMALE"
"56",82,47,47,47,2718,2718,2718,"FEMALE"
"57",83,21.5,21.5,21.6545463960171,116,10.770329614269,116,"FEMALE"
"58",84,73.3333333333333,52,52,807.666666666667,450,450,"FEMALE"
"59",86,48.5,48.5,34.0881210981186,720.5,560.681727899171,720.5,"FEMALE"
"60",90,11,11,7.54983443527075,16.5,5.65685424949238,16.5,"FEMALE"
