Sample,TotalSig1Number,TotalSig5Number,TotalSig7Number,GDC_SigData.TotalMutNumber,CLASSIFICATION
TCGA-3N-A9WB-06A-11D-A38G-08,0.138915663,0,0.822677946,216,NRAS
TCGA-3N-A9WC-06A-11D-A38G-08,0.03567408,0,0.84981722,2514,NRAS
TCGA-3N-A9WD-06A-11D-A38G-08,0.026441324,0.036544756,0.920887594,1161,NRAS
TCGA-BF-A1PU-01A-11D-A19A-08,0.197692992,0,0.723678212,81,BRAF
TCGA-BF-A1PV-01A-11D-A19A-08,0.023989013,0,0.911205779,353,NRAS
TCGA-BF-A1PX-01A-12D-A19A-08,0,0,0.780451912,418,WT
TCGA-BF-A1PZ-01A-11D-A19A-08,0.048387966,0,0.749473034,266,NF1
TCGA-BF-A1Q0-01A-21D-A19A-08,0.084847245,0,0.80871374,738,WT
TCGA-BF-A3DJ-01A-11D-A20D-08,0.103618059,0,0.869140525,177,BRAF
TCGA-BF-A3DL-01A-11D-A20D-08,0.096396134,0,0.839813686,536,BRAF
TCGA-BF-A3DM-01A-11D-A20D-08,0.076013232,0,0.883683009,613,BRAF
TCGA-BF-A3DN-01A-11D-A20D-08,0,0,0.782338484,105,BRAF
TCGA-BF-A5EO-01A-12D-A27K-08,0.0885732,0,0.832292222,811,NRAS
TCGA-BF-A5EP-01A-12D-A27K-08,0.041319102,0,0.606662108,207,WT
TCGA-BF-A5EQ-01A-21D-A27K-08,0.065655589,0,0.890533042,790,BRAF
TCGA-BF-A5ER-01A-12D-A27K-08,0.083936311,0,0.757917928,260,BRAF
TCGA-BF-A5ES-01A-11D-A27K-08,0.084934709,0,0.782477628,671,WT
TCGA-BF-A9VF-01A-11D-A372-08,0.116412725,0,0.457085071,123,BRAF
TCGA-BF-AAOU-01A-12D-A397-08,0,0,0.909652055,408,WT
TCGA-BF-AAOX-01A-11D-A397-08,0.082516332,0,0.856193547,1645,NRAS
TCGA-BF-AAP0-06A-11D-A397-08,0.066693707,0,0.773120015,586,BRAF
TCGA-BF-AAP1-01A-11D-A397-08,0.094074099,0,0.864420613,1179,BRAF
TCGA-BF-AAP2-01A-11D-A401-08,0.002148586,0,0.906398055,1768,NRAS
TCGA-BF-AAP4-01A-11D-A401-08,0.04076988,0.053328423,0.813234054,1064,NF1
TCGA-BF-AAP6-01A-11D-A401-08,0.248958858,0,0.529604808,80,BRAF
TCGA-BF-AAP7-01A-11D-A401-08,0.088052059,0,0.746001689,581,BRAF
TCGA-BF-AAP8-01A-11D-A401-08,0.281095902,0,0,12,WT
TCGA-D3-A1Q1-06A-21D-A196-08,0.233706859,0,0,57,NRAS
TCGA-D3-A1Q3-06A-11D-A196-08,0,0,0.024722009,41,WT
TCGA-D3-A1Q4-06A-11D-A196-08,0,0,0.911663426,337,BRAF
TCGA-D3-A1Q5-06A-11D-A196-08,0.048386337,0,0.852215643,462,BRAF
TCGA-D3-A1Q6-06A-11D-A196-08,0.050787109,0,0.797689196,1012,BRAF
TCGA-D3-A1Q7-06A-11D-A19A-08,0.041160459,0,0.826107002,121,BRAF
TCGA-D3-A1Q8-06A-11D-A19A-08,0.066218405,0,0.72678142,298,NRAS
TCGA-D3-A1Q9-06A-11D-A19A-08,0.294852367,0.009920591,0,37,BRAF
TCGA-D3-A1QA-06A-11D-A196-08,0.092612325,0,0.874327309,563,BRAF
TCGA-D3-A1QB-06A-11D-A19A-08,0.127459533,0,0.76135771,492,NRAS
TCGA-D3-A2J6-06A-11D-A19A-08,0.541245978,0,0.337562957,18,WT
TCGA-D3-A2J7-06A-11D-A196-08,0.087838766,0,0.856344769,455,BRAF
TCGA-D3-A2J8-06A-11D-A196-08,0.005632996,0,0.994367004,716,NRAS
TCGA-D3-A2J9-06A-11D-A196-08,0.101800868,0,0.665856175,84,WT
TCGA-D3-A2JA-06A-11D-A196-08,0.069616809,0,0.777784121,459,NF1
TCGA-D3-A2JB-06A-11D-A196-08,0.217527832,0,0,12,WT
TCGA-D3-A2JC-06A-11D-A19A-08,0.137183303,0,0.736411851,208,WT
TCGA-D3-A2JD-06A-11D-A19A-08,0.019776589,0,0.747996114,468,BRAF
TCGA-D3-A2JE-06A-11D-A372-08,0.096812637,0,0.848973779,412,BRAF
TCGA-D3-A2JF-06A-11D-A196-08,0.033026388,0,0.929175304,1889,NF1
TCGA-D3-A2JG-06A-11D-A196-08,0.029630067,0,0.684443441,130,BRAF
TCGA-D3-A2JH-06A-11D-A196-08,0.117938557,0,0.729051169,782,BRAF
TCGA-D3-A2JK-06A-11D-A196-08,0.061058341,0,0.783152072,378,BRAF
TCGA-D3-A2JL-06A-11D-A196-08,0.009052435,0,0.77833341,356,NRAS
TCGA-D3-A2JN-06A-11D-A196-08,0.072481378,0,0.73092422,393,BRAF
TCGA-D3-A2JO-06A-11D-A196-08,0.043512752,0,0.881500284,709,WT
TCGA-D3-A2JP-06A-11D-A19A-08,0.080373457,0,0.861652428,291,WT
TCGA-D3-A3BZ-06A-12D-A196-08,0.154444317,0,0.038420016,65,WT
TCGA-D3-A3C1-06A-12D-A196-08,0.129175714,0,0.565054666,164,BRAF
TCGA-D3-A3C3-06A-12D-A19A-08,0.14274001,0,0.546614293,303,BRAF
TCGA-D3-A3C6-06A-12D-A196-08,0.036687123,0,0.834172329,135,BRAF
TCGA-D3-A3C7-06A-11D-A196-08,0.040888034,0.045455071,0.860263751,1104,BRAF
TCGA-D3-A3C8-06A-12D-A19A-08,0,0,0.973219524,566,WT
TCGA-D3-A3CB-06A-11D-A196-08,0.045269143,0,0.932462276,281,BRAF
TCGA-D3-A3CC-06A-11D-A19A-08,0.073324809,0,0.042984919,34,WT
TCGA-D3-A3CE-06A-11D-A19A-08,0.468530587,0,0.20234136,28,BRAF
TCGA-D3-A3CF-06A-11D-A196-08,0.386488835,0,0,31,WT
TCGA-D3-A3ML-06A-11D-A21A-08,0.059030248,0,0.908245347,1226,NRAS
TCGA-D3-A3MO-06A-11D-A21A-08,0.235341892,0,0.436606458,73,BRAF
TCGA-D3-A3MR-06A-11D-A21A-08,0.067304518,0,0.842910417,1131,BRAF
TCGA-D3-A3MU-06A-11D-A21A-08,0,0,0.889636698,634,BRAF
TCGA-D3-A3MV-06A-11D-A21A-08,0.065969044,0,0.889112119,694,NRAS
TCGA-D3-A51E-06A-11D-A25O-08,0.118195182,0,0.75576628,365,NRAS
TCGA-D3-A51F-06A-11D-A25O-08,0,0,0.748223192,133,BRAF
TCGA-D3-A51G-06A-11D-A25O-08,0.081905153,0,0.767358435,1651,NRAS
TCGA-D3-A51H-06A-12D-A25O-08,0.023430829,0,0.543402772,21,WT
TCGA-D3-A51J-06A-11D-A25O-08,0.051152195,0,0.808470499,574,BRAF
TCGA-D3-A51K-06A-11D-A25O-08,0,0,0,32,WT
